1,51 (50),May 24,TOR,,SDP,L,3-6,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.88,-0.066,-0.55,0.00,0.00,2B
2,52,May 25,TOR,,SDP,L,4-19,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,7,.22,-0.017,-0.44,0.00,0.00,2B
3,53,May 26,TOR,,SDP,W,10-1,CG,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.300,.300,.600,.900,7,.60,0.189,2.64,,,2B
