99 (98),Jul 29,TEX,,DET,L,5-13,GF,7,2.0,0,0,0,0,0,3B
104 (4),Aug 3,TEX,@,OAK,L,2-3,CG,35,8.2,0,2,0,2,0,2B
105,Aug 4,TEX,@,OAK,L,0-6,CG,37,8.0,4,2,0,6,2,2B
