146 (145),Sep 21 (2),CLE,,WSH,L,1-2,CG,0,9.0,12,0,0,12,1,
147,Sep 22,CLE,,WSH,L,0-6,CG,0,9.0,10,0,0,10,0,
152 (4),Sep 27 (2),CLE,,BOS,L,4-7,CG,0,9.0,11,0,2,13,0,
155 (2),Sep 30,CLE,,BOS,L,2-7,CG,0,9.0,8,1,0,9,2,
