40 (39),May 20 (1),FLA,,ARI,W,8-6,GF,14,3.0,3,0,0,3,0,PH CF
41,May 20 (2),FLA,,ARI,L,9-11,CG,61,13.0,8,0,1,9,0,CF
53 (11),Jun 2,FLA,,MIL,W,10-3,GF,9,2.0,1,0,0,1,0,LF
54,Jun 3,FLA,,MIL,L,6-9,CG,46,9.0,6,0,0,6,0,CF
56 (1),Jun 5,FLA,,SFG,L,1-2,GF,13,3.0,0,0,0,0,0,PH CF
57,Jun 6,FLA,,SFG,W,5-4,GF,11,2.0,0,0,0,0,0,LF
59 (1),Jun 8,FLA,,SFG,W,4-0,GF,4,1.0,0,0,0,0,0,PH LF
70 (10),Jun 20,FLA,,NYY,W,2-1,GF,7,2.0,0,0,0,0,0,PH LF
72 (1),Jun 23,FLA,,BAL,W,7-6,GF,8,2.0,0,0,0,0,0,CF
78 (5),Jun 29,FLA,,WSN,W,4-2,GF,5,1.0,0,0,0,0,0,PR LF
82 (3),Jul 4,FLA,,PIT,W,5-3,GF,7,2.0,1,0,0,1,0,PR LF
