138 (137),Sep 14 (2),NYY,,SLB,W,13-7,GF,12,2.0,0,0,0,0,0,PH CF
146 (7),Sep 23 (1),NYY,@,WSH,L,8-9,GS,29,7.0,1,0,0,1,0,CF
151 (4),Sep 27,NYY,,PHA,W,3-1,CG,36,9.0,3,0,0,3,0,CF
152,Sep 28,NYY,,PHA,W,7-5,GS,32,7.0,1,0,0,1,0,CF
153,Sep 30,NYY,,PHA,L,1-4,CG,35,9.0,1,0,0,1,0,CF
