139 (138),Sep 6,BAL,,ANA,L,3-6,,10,2.0,0,0,0,0,0,P
152 (12),Sep 19,BAL,,TOR,L,3-9,,9,2.0,1,0,0,1,0,P
155 (2),Sep 22,BAL,,BOS,L,2-13,,6,0.2,0,0,0,0,0,P
