2 (1),Apr 13,BOS,@,PHA,W,4-2,CG,0,9.0,11,0,0,11,0,
3,Apr 16,BOS,@,WSH,L,2-3,GS,0,7.0,4,0,1,5,0,
4,Apr 17,BOS,@,WSH,W,6-1,CG,0,9.0,9,0,0,9,2,
