1,1,Apr 12,BOS,@,PHA,L,1-8,0-GF,1,0,0,0,0,0,0,,0,,0,1,0,,,,0,,,1.000,,,9,PH
2,2,Apr 13,BOS,@,PHA,W,4-2,CG,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.250,.400,.250,.650,7,1B
3,3,Apr 16,BOS,@,WSH,L,2-3,GS-0,3,3,0,0,0,0,0,,0,,0,0,0,,,,0,,.143,.250,.143,.393,5,1B
4,4,Apr 17,BOS,@,WSH,W,6-1,CG,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.182,.250,.182,.432,5,1B
5,10 (5),Apr 27,BOS,,NYY,L,3-4,0-0,1,1,0,0,0,0,0,,0,,0,0,0,,,,0,,.167,.231,.167,.397,9,PH
6,14 (3),May 4,BOS,,WSH,L,0-1,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.154,.214,.154,.368,9,PH
