4 (3),Apr 9,CAL,@,MIN,L,1-2,,7,1.2,0,0,0,0,0,P
7 (2),Apr 13 susp,CAL,,SEA,W,4-3,,9,1.1,0,0,1,1,0,P
14 (6),Apr 20,CAL,@,SEA,L,4-6,,6,1.1,0,0,0,0,0,P
20 (5),Apr 28,CAL,@,NYY,L,0-6,,7,1.2,0,0,0,0,0,P
22 (1),Apr 30,CAL,@,BAL,L,4-9,,10,1.1,0,0,0,0,0,P
26 (3),May 4,CAL,@,CLE,L,5-6,,6,1.1,0,0,0,0,0,P
28 (1),May 7,CAL,,BAL,L,3-5,,5,1.0,0,0,0,0,0,P
133,Sep 1,PHI,,ATL,L,0-4,,4,1.1,0,0,0,0,0,P
136 (2),Sep 5,PHI,,HOU,W,4-3,,8,2.2,1,0,0,1,0,P
141 (4),Sep 11,PHI,@,PIT,L,9-10,,4,1.0,0,0,0,0,0,P
145 (3),Sep 15,PHI,,STL,L,0-8,,11,3.0,0,1,0,1,0,P
148 (2),Sep 19,PHI,,PIT,L,1-8,,13,2.2,0,0,0,0,0,P
156 (7),Sep 27,PHI,,CHC,L,1-8,,1,0.1,0,0,0,0,0,P
159 (2),Sep 30,PHI,,MON,W,5-4,,2,1.0,0,0,0,0,0,P
161 (1),Oct 2,PHI,,NYM,W,4-3,,5,1.1,0,0,0,0,0,P
