9 (8),Apr 15,ARI,@,COL,W,5-2,CG,35,9.0,7,0,0,7,0,C
13 (3),Apr 19,ARI,,ATL,L,2-10,CG,45,9.0,6,0,0,6,0,C
17 (3),Apr 23,ARI,,PHI,W,9-5,GF,8,1.0,0,0,0,0,0,PH C
19 (1),Apr 25,ARI,,PHI,L,2-7,CG,41,9.0,9,2,0,11,0,C
23 (3),Apr 30,ARI,@,MIA,W,9-5,CG,40,9.0,10,2,0,12,1,C
28 (4),May 5,ARI,@,NYM,L,3-4,GS,33,7.0,5,1,0,6,0,C
38 (9),May 16,ARI,@,COL,L,1-6,CG,34,8.0,3,0,0,3,0,C
43 (4),May 21,ARI,,LAD,L,1-6,GF,14,3.0,5,0,0,5,0,PH C
44,May 22,ARI,,LAD,L,7-8,CG,42,9.0,9,2,0,11,1,C
45,May 23,ARI,,LAD,W,11-4,CG,36,9.0,9,0,0,9,0,C
46,May 25,ARI,,MIL,L,1-7,CG,45,9.0,10,1,0,11,1,C
48 (1),May 27,ARI,,MIL,W,4-3,CG,36,9.0,8,1,0,9,1,C
55 (6),Jun 4,ARI,,COL,L,0-4,CG,39,9.0,5,1,0,6,0,C
60 (4),Jun 10,ARI,,OAK,W,4-3,CG,38,9.0,7,1,1,9,0,C
65 (4),Jun 16,ARI,@,LAA,L,0-2,CG,36,8.0,8,1,0,9,0,C
76 (10),Jun 29,ARI,@,MIL,W,9-3,CG,37,9.0,10,1,0,11,0,C
83 (6),Jul 6,ARI,,LAD,W,5-3,CG,42,9.0,10,0,0,10,1,C
92 (8),Jul 19,ARI,@,CIN,L,6-7,GS,33,7.0,4,1,0,5,0,C
94 (1),Jul 21,ARI,,HOU,W,12-3,GF,11,2.0,1,0,1,2,0,C
100 (5),Jul 27,ARI,,NYM,W,11-5,CG,37,9.0,8,0,0,8,0,C
108 (7),Aug 5,ARI,@,PHI,L,4-5,GS,33,7.2,7,0,0,7,0,C
