152 (151),Sep 18,CLE,@,KCA,L,1-6,CG,40,8.0,2,0,0,2,0,CF
160 (7),Sep 29 (2),CLE,,LAA,W,5-1,CG,36,9.0,1,0,0,1,0,LF
161,Sep 30 (1),CLE,,LAA,W,4-3,CG,33,9.0,1,0,0,1,0,LF
