5 (4),Apr 13,NYM,,STL,L,3-7,GF,15,4.0,1,2,0,3,0,2B
19,Apr 29,DET,@,MIN,W,6-5,GF,9,3.0,0,0,0,0,0,3B
20,Apr 30,DET,@,MIN,L,3-7,GF,3,1.0,0,0,0,0,0,3B
