5,142 (141),Sep 14,STL,,BRO,W,6-2,CG,3,3,0,1,0,0,0,1,0,,2,0,0,,,,0,,.333,.333,.333,.667,9,P
6,144 (1),Sep 17 (2),STL,,BSN,T,2-2,0-GF,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,,.200,.200,.200,.400,9,P
7,149 (4),Sep 21 (1),STL,,PHI,L,3-8,0-GF,2,2,1,1,0,0,0,,0,,0,0,0,,,,0,,.286,.286,.286,.571,9,P
