3,1,Apr 14,STL,@,CHC,L,2-7,GS-0,2,1,0,0,0,0,0,0,1,,0,0,0,,,,0,,.000,.500,.000,.500,7,SS
4,2,Apr 15,STL,@,CHC,W,4-2,CG,4,2,1,0,0,0,0,0,2,,0,0,0,,,,0,,.000,.500,.000,.500,7,SS
5,3,Apr 16,STL,@,CHC,L,2-4,GS-0,3,2,0,0,0,0,0,0,1,,1,0,0,,,,0,,.000,.444,.000,.444,7,SS
6,4,Apr 17,STL,@,CHC,W,7-4,GS-0,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.111,.385,.111,.496,7,SS
7,5,Apr 18,STL,@,CIN,L,2-6,CG,4,3,0,1,0,0,0,0,1,,0,0,0,,,,0,,.167,.412,.167,.578,7,SS
8,6,Apr 19,STL,@,CIN,L,1-4,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.133,.350,.133,.483,7,SS
9,7,Apr 20,STL,@,CIN,L,0-2,CG,3,1,0,0,0,0,0,0,2,,0,0,0,,,,0,,.125,.391,.125,.516,7,SS
10,8,Apr 21,STL,@,CIN,L,0-1,CG(5),2,2,0,0,0,0,0,0,0,,2,0,0,,,,0,,.111,.360,.111,.471,7,SS
11,9,Apr 22,STL,,CHC,W,9-5,CG,4,2,2,0,0,0,0,,1,,0,0,1,,,,0,,.100,.357,.100,.457,7,SS
12,10,Apr 23,STL,,CHC,L,4-8,CG,4,3,0,0,0,0,0,0,1,,1,0,0,,,,0,,.087,.344,.087,.431,7,SS
