4,85,Jul 5,NYM,@,FLA,W,5-3,GS-5,W(1-0),99,5.0,6,2,2,3,3,0,0,3.60,22,100,59,16,9,7,9,3,3,0,47,,,0,0,0,18,2,0,0,2,0,0,1.14,0.071,0.41, 1b start a 2, 5b 3 out tie
5,92,Jul 15,NYM,,FLA,W,8-3,CG,W(2-0),9,9.0,7,3,3,1,7,3,0,3.21,35,109,77,21,10,15,12,3,1,0,67,,,0,0,0,34,0,0,0,0,0,0,.45,0.163,1.28, 1t start tie, 9t 3 out a5
6,97,Jul 20,NYM,@,CIN,W,8-7,GS-5,,4,4.1,9,6,6,2,2,1,2,5.40,25,83,46,15,4,7,12,8,0,0,21,,,1,1,1,19,5,0,0,0,0,0,1.24,-0.444,-4.11, 1b start a 3, 5b -2- 1 out a1
7,106,Jul 31,NYM,,HOU,W,10-0,8-GF,,10,2.0,0,0,0,1,2,0,0,4.87,7,26,18,2,6,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,0.95, 8t --- 0 out a10, 9t end a10
8,121,Aug 16,NYM,,LAD,L,2-3,GS-6,,15,6.0,3,1,0,2,4,0,0,3.76,22,91,56,15,10,8,8,3,1,0,66,,,0,1,0,20,0,0,0,0,0,0,1.19,0.220,1.85, 1t start tie, 6t 3 out tie
9,126,Aug 22,NYM,@,SFG,L,1-3,GS-6,L(2-1),5,5.1,9,3,3,1,3,0,1,3.98,26,91,52,14,6,8,13,7,2,0,40,,,0,0,0,24,1,1,0,1,0,0,1.09,-0.093,-0.33, 1b start tie, 6b 1-3 1 out d1
10,131,Aug 28,NYM,@,FLA,L,3-7,GS-5,,5,5.0,6,3,3,1,4,1,0,4.17,22,89,52,13,10,9,8,3,0,0,46,,,0,0,0,20,3,0,1,0,1,0,1.08,-0.122,-0.60, 1b start tie, 5b 3 out tie
11,136,Sep 3(2),NYM,,FLA,W,11-5,GS-8,W(3-1),5,7.2,10,5,5,2,2,2,1,4.47,36,110,70,16,9,17,14,4,2,0,39,,,0,0,0,32,2,0,0,0,0,0,.71,0.095,-1.51, 1t start tie, 8t -2- 2 out a5
12,142,Sep 9,NYM,@,PHI,W,6-4,GS-5,,5,4.0,7,3,3,2,2,1,0,4.66,21,82,49,15,4,5,12,5,1,0,36,,,0,0,0,19,1,0,0,0,0,0,.98,-0.110,-1.11, 1b start tie, 5b 12- 0 out d2
13,148,Sep 14,NYM,@,MON,L,4-5,GS-6,L(3-2),4,5.1,4,3,2,3,1,0,0,4.53,24,92,54,11,6,13,7,3,2,0,48,,,1,0,0,20,0,0,1,1,0,2,1.13,0.032,0.87, 1b start tie, 6b 1-3 1 out a1
14,159,Sep 27(2),NYM,,ATL,L,4-7,7-8,,12,2.0,2,0,0,1,0,0,0,4.37,7,21,12,2,1,4,2,1,0,0,,0,0,0,0,0,6,0,1,1,2,0,0,.12,0.006,0.95, 7t --- 0 out d6, 8t 3 out d5
