77,3 (2),Apr 9,ATL,,HOU,W,6-2,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.12,-0.010,-0.47,P
78,8 (4),Apr 14,ATL,@,CIN,W,5-2,GS-7,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.200,.400,9,.97,0.022,0.23,P
79,12 (3),Apr 20,ATL,,CIN,W,4-2,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.200,.200,.400,9,,,,P
80,132 (119),Aug 31,ATL,@,PHI,W,3-0,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.143,.286,9,.83,-0.041,-0.37,P
81,137 (4),Sep 6,ATL,,SFG,L,2-8,GS-6,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,9,.81,0.064,0.75,P
82,142 (4),Sep 11,ATL,,CIN,L,3-4,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,,,,P
83,146 (3),Sep 15,ATL,,HOU,L,4-5,GS-7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.300,.300,.300,.600,9,2.06,-0.067,-0.54,P
84,150 (3),Sep 20,ATL,@,HOU,L,3-4,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.231,.231,.462,9,.70,-0.024,-0.30,P
85,154 (3),Sep 25,ATL,,SDP,W,12-6,GS-3,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.571,9,2.29,0.191,1.64,P
86,158 (3),Sep 29,ATL,@,LAD,W,4-3,GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.235,.235,.471,9,1.90,-0.140,-1.34,P
