124,1,Apr 14,SLB,@,CHW,L,0-3,CG,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,,.333,.333,.333,.667,7,RF
125,2,Apr 15,SLB,@,CHW,W,5-4,CG,4,3,0,1,0,0,0,1,1,,0,0,0,,,,0,,.333,.429,.333,.762,7,RF
126,3,Apr 18,SLB,@,DET,L,2-3,CG,4,1,1,0,0,0,0,0,2,,0,0,1,,,,0,,.286,.500,.286,.786,7,RF
127,4,Apr 21,SLB,,CHW,W,4-1,CG,3,3,1,0,0,0,0,0,0,,1,0,0,,,,0,,.200,.385,.200,.585,7,RF
128,5,Apr 25,SLB,,DET,W,6-5,GS-0,3,3,1,1,1,0,0,0,0,,1,0,0,,,,0,,.231,.375,.308,.683,7,RF
129,6,Apr 27,SLB,,DET,L,1-7,CG,4,3,0,1,0,0,0,0,0,,0,1,0,,,,0,,.250,.400,.313,.713,7,RF
130,7,Apr 28,SLB,,DET,L,1-7,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.211,.348,.263,.611,7,RF
131,8,Apr 29,SLB,,DET,L,0-5,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.174,.296,.217,.514,7,RF
132,14 (5),May 6,SLB,@,CLE,L,3-4,0-0,1,0,0,0,0,0,0,,1,,0,0,0,,,,0,,.174,.321,.217,.539,9,PH
133,20 (5),May 13,SLB,@,BOS,L,1-8,0-0,1,0,0,0,0,0,0,1,0,,0,0,1,,,,0,,.174,.321,.217,.539,9,PH
