48,1,Apr 6,MIA,,ATL,L,1-2,GS-8,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,9,1.03,-0.011,0.00,,,P
49,6 (4),Apr 12,MIA,,TBR,L,5-8,GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,.76,-0.018,-0.14,,,P
50,38 (31),May 17,MIA,,ATL,L,0-6,GS-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,9,.18,-0.005,-0.09,,,P
51,43 (4),May 22,MIA,,BAL,L,5-8,GS-6,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,.833,9,1.06,0.025,0.22,,,P
