43,2 (1),Apr 18,PIT,@,CHC,L,2-7,CG,3,3,0,0,0,0,0,0,0,,2,0,0,,,,0,0,.000,.000,.000,.000,9,P
44,7 (4),Apr 23,PIT,@,CIN,W,8-4,GS-0,4,4,2,2,1,0,0,1,0,,0,0,0,,,,0,0,.286,.286,.429,.714,9,P
45,13 (5),Apr 30,PIT,@,STL,L,5-7,GS-0,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.250,.250,.375,.625,9,P
46,15 (1),May 2,PIT,@,STL,L,1-12,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.375,.625,9,P
47,23 (7),May 13,PIT,@,NYG,L,0-9,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.375,.625,9,P
48,37 (13),May 29,PIT,,CHC,W,7-6,0-0,2,2,1,1,0,0,0,0,0,,0,0,0,,,,0,0,.300,.300,.400,.700,9,P
49,43 (5),Jun 4,PIT,,BRO,L,3-5,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.300,.300,.400,.700,9,P
50,53 (9),Jun 20,PIT,,BSN,L,8-14,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.300,.300,.400,.700,9,P
51,73 (19),Jul 11,PIT,@,NYG,L,1-6,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.300,.300,.400,.700,9,P
52,80 (6),Jul 16,PIT,@,BRO,L,4-8,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.300,.300,.400,.700,9,P
