139 (138),Sep 13,CLE,,BAL,L,1-4,CG,37,9.0,1,0,0,1,0,LF
142 (2),Sep 15,CLE,,BOS,L,3-5,CG,37,9.0,6,0,0,6,0,LF
143,Sep 16 (1),CLE,,NYY,L,3-10,GS,37,7.0,1,0,0,1,0,LF
144,Sep 16 (2),CLE,,NYY,W,4-3,GS,18,5.0,0,0,0,0,0,LF
147 (2),Sep 19,CLE,,WSH,W,6-0,CG,28,7.0,2,0,0,2,0,LF
151 (3),Sep 25,CLE,,KCA,W,4-1,CG,37,10.0,2,0,0,2,0,LF
152,Sep 26,CLE,,KCA,W,8-4,CG,37,9.0,2,0,0,2,0,LF
153,Sep 28,CLE,,DET,W,2-1,CG,34,9.0,1,0,0,1,0,LF
154,Sep 29,CLE,,DET,L,1-9,CG,45,9.0,2,0,0,2,0,LF
155,Sep 30,CLE,,DET,L,4-8,CG,42,9.0,3,0,0,3,0,LF
