171,36,May 8,MIA,@,CHC,L,2-3,CG(11),5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.324,.414,.738,4,2.15,-0.253,-1.46,0.00,0.00,C
172,37,May 9,MIA,@,CHC,L,1-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.321,.410,.731,8,.98,-0.035,-0.27,0.00,0.00,PH
173,38,May 10,MIA,@,NYM,L,2-11,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.250,.310,.394,.704,6,.11,-0.008,-0.70,0.00,0.00,C
174,39,May 11,MIA,@,NYM,L,1-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.243,.308,.383,.691,6,.86,-0.066,-0.62,2.00,3.00,C
175,40,May 14,MIA,,TBR,L,0-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.236,.300,.373,.673,6,.60,-0.043,-0.31,0.00,0.00,C
176,41,May 15,MIA,,TBR,L,0-1,CG,4,4,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.306,.395,.701,6,2.16,0.202,0.75,10.00,12.00,C
177,42,May 17,MIA,,NYM,W,8-6,CG,4,4,2,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.254,.313,.424,.736,6,.71,0.096,2.41,23.00,31.90,C
178,43,May 18,MIA,,NYM,W,2-0,GS-4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.258,.315,.425,.740,5,.58,0.012,0.26,8.00,9.00,C
179,45 (1),May 21,MIA,@,DET,W,5-4,CG(11),5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.248,.304,.408,.712,6,1.42,-0.185,-1.67,0.00,0.00,DH
180,46,May 22,MIA,@,DET,W,6-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.240,.295,.395,.690,8,1.18,-0.147,-1.86,0.00,0.00,C
181,47,May 23,MIA,@,DET,W,5-2,CG,4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.244,.308,.397,.705,8,2.45,0.119,0.26,7.00,9.00,C
182,48,May 24,MIA,@,WSN,L,10-12,CG,5,5,2,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.257,.318,.426,.744,7,1.07,0.133,1.97,26.00,34.90,C
